date,home_team,away_team,fthg,ftag,ftr,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,xg_home,xg_away,deep_home,deep_away,ppda_home,ppda_away,xpts_home,xpts_away
2014-08-22,Bayern Munich,Wolfsburg,2,1,H,17,9,10,4,5,9,9,3,0,2,0,0,2.57,1.2,5,4,9.63,21.85,2.35,0.47
2014-08-23,Hoffenheim,Augsburg,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,1.53,0.28,6,2,6.59,5.74,2.51,0.31
2014-08-23,Hertha BSC,Werder Bremen,2,2,D,19,9,5,5,17,18,9,5,1,2,0,0,1.76,1.19,3,5,5.69,9.87,1.83,0.85
2014-08-23,Dortmund,Leverkusen,0,2,A,11,11,4,2,13,28,8,4,1,2,0,0,0.48,1.15,2,5,3.33,5.8,0.74,1.95
2014-08-23,1.FC Köln,Hamburger SV,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,0.52,0.91,4,2,13.08,7.07,0.94,1.7
2014-08-23,Eintracht Frankfurt,Freiburg,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,1.75,1.38,3,13,10.52,3.47,1.65,1.1
2014-08-23,Hannover 96,Schalke 04,2,1,H,8,12,3,5,12,15,2,4,2,1,0,0,1.18,0.96,4,3,9.64,6.06,1.57,1.12
2014-08-24,M'gladbach,VfB Stuttgart,1,1,D,19,7,6,3,8,16,6,3,2,1,0,0,2.41,0.43,7,3,14.11,14.5,2.69,0.2
2014-08-24,Paderborn,Mainz 05,2,2,D,10,14,3,4,16,14,4,3,2,2,0,0,0.35,1.84,5,7,7.28,8.15,0.24,2.62
2014-08-29,Augsburg,Dortmund,2,3,A,12,22,3,9,9,12,3,6,2,3,0,0,1.0,2.3,2,8,9.04,13.81,0.55,2.26
2014-08-30,Wolfsburg,Eintracht Frankfurt,2,2,D,14,9,11,4,19,11,4,3,3,1,0,0,1.0,1.6,4,2,4.97,12.75,0.84,1.88
2014-08-30,Werder Bremen,Hoffenheim,1,1,D,15,12,1,1,20,13,6,6,3,0,0,0,2.51,1.3,5,2,4.89,4.59,2.25,0.54
2014-08-30,VfB Stuttgart,1.FC Köln,0,2,A,14,10,5,4,11,11,7,4,1,2,0,0,0.72,1.3,9,4,6.3,26.0,0.82,1.88
2014-08-30,Schalke 04,Bayern Munich,1,1,D,8,10,4,4,15,15,1,3,4,1,0,0,1.31,1.5,1,10,17.7,4.76,1.14,1.51
