Date,Home Team,Away Team,xG_home,xG_away,DEEP_home,DEEP_away,PPDA_home,PPDA_away,xPTS_home,xPTS_away
Aug 22 2014,Bayern Munich,Wolfsburg,2.57,1.20,5,4,9.63,21.85,2.35,0.47
Aug 23 2014,Hoffenheim,Augsburg,1.53,0.28,6,2,6.59,5.74,2.51,0.31
Aug 23 2014,Hannover 96,Schalke 04,1.18,0.96,4,3,9.64,6.06,1.57,1.12
Aug 23 2014,Hertha Berlin,Werder Bremen,1.76,1.19,3,5,5.69,9.87,1.83,0.85
Aug 23 2014,Eintracht Frankfurt,Freiburg,1.75,1.38,3,13,10.52,3.47,1.65,1.10
Aug 23 2014,FC Cologne,Hamburger SV,0.52,0.91,4,2,13.08,7.07,0.94,1.70
Aug 23 2014,Borussia Dortmund,Bayer Leverkusen,0.48,1.15,2,5,3.33,5.80,0.74,1.95
Aug 24 2014,Paderborn,Mainz 05,0.35,1.84,5,7,7.28,8.15,0.24,2.62
Aug 24 2014,Borussia M.Gladbach,VfB Stuttgart,2.41,0.43,7,3,14.11,14.50,2.69,0.20
Aug 29 2014,Augsburg,Borussia Dortmund,1.00,2.30,2,8,9.04,13.81,0.55,2.26
Aug 30 2014,Werder Bremen,Hoffenheim,2.51,1.30,5,2,4.89,4.59,2.25,0.54
Aug 30 2014,VfB Stuttgart,FC Cologne,0.72,1.30,9,4,6.30,26.00,0.82,1.88
Aug 30 2014,Hamburger SV,Paderborn,1.14,2.37,5,2,3.83,9.83,0.47,2.34
Aug 30 2014,Bayer Leverkusen,Hertha Berlin,2.53,0.71,8,3,3.96,9.38,2.59,0.27
Aug 30 2014,Wolfsburg,Eintracht Frankfurt,1.00,1.60,4,2,4.97,12.75,0.84,1.88
Aug 30 2014,Schalke 04,Bayern Munich,1.31,1.50,1,10,17.70,4.76,1.14,1.51
Aug 31 2014,Mainz 05,Hannover 96,1.01,0.56,7,7,11.29,10.12,1.72,0.92
Aug 31 2014,Freiburg,Borussia M.Gladbach,1.30,0.32,7,1,10.87,19.00,2.35,0.42
Sep 12 2014,Bayer Leverkusen,Werder Bremen,1.98,1.73,13,4,4.07,7.00,1.52,1.23
Sep 13 2014,Hoffenheim,Wolfsburg,1.16,1.64,10,6,6.31,12.20,0.99,1.72
Sep 13 2014,Bayern Munich,VfB Stuttgart,1.23,0.31,13,3,5.06,16.96,2.16,0.55
Sep 13 2014,Borussia Dortmund,Freiburg,1.72,0.26,9,1,13.12,18.70,2.48,0.32
Sep 13 2014,Hertha Berlin,Mainz 05,1.72,2.37,3,6,4.24,7.95,0.88,1.87
Sep 13 2014,Paderborn,FC Cologne,0.33,0.39,7,5,13.40,6.97,1.12,1.35
Sep 13 2014,Borussia M.Gladbach,Schalke 04,3.38,1.82,13,8,12.07,12.91,2.30,0.53
Sep 14 2014,Eintracht Frankfurt,Augsburg,0.85,1.00,4,3,6.09,6.12,1.20,1.48
Sep 14 2014,Hannover 96,Hamburger SV,2.23,0.98,9,9,5.08,6.23,2.38,0.44
Sep 19 2014,Freiburg,Hertha Berlin,0.87,0.29,11,0,8.30,10.26,1.87,0.74
Sep 20 2014,VfB Stuttgart,Hoffenheim,1.33,1.15,9,5,3.65,10.39,1.46,1.24
Sep 20 2014,Hamburger SV,Bayern Munich,0.20,1.04,2,6,9.45,4.42,0.53,2.14
Sep 20 2014,Schalke 04,Eintracht Frankfurt,1.78,0.84,4,2,9.52,16.35,2.17,0.61
Sep 20 2014,Paderborn,Hannover 96,2.05,0.55,4,7,12.55,7.95,2.50,0.35
Sep 20 2014,Augsburg,Werder Bremen,2.91,2.02,11,4,4.68,6.88,1.97,0.81
Sep 20 2014,Mainz 05,Borussia Dortmund,0.97,2.10,4,8,9.33,5.00,0.51,2.28
Sep 21 2014,Wolfsburg,Bayer Leverkusen,1.56,0.62,7,3,4.90,11.52,2.21,0.56
Sep 21 2014,FC Cologne,Borussia M.Gladbach,0.55,0.77,2,5,22.60,7.57,1.09,1.52
Sep 23 2014,Hoffenheim,Freiburg,1.82,2.45,5,3,4.23,11.26,0.86,1.89
Sep 23 2014,Bayern Munich,Paderborn,3.48,0.40,23,2,4.25,44.80,2.93,0.04
Sep 23 2014,Werder Bremen,Schalke 04,0.99,1.37,5,6,8.36,6.83,1.03,1.67
Sep 23 2014,Eintracht Frankfurt,Mainz 05,1.45,1.10,11,4,9.31,7.84,1.60,1.10
Sep 24 2014,Borussia Dortmund,VfB Stuttgart,2.14,1.48,14,5,8.86,22.24,1.82,0.94
Sep 24 2014,Bayer Leverkusen,Augsburg,1.65,0.57,6,4,6.13,5.57,2.30,0.48
Sep 24 2014,Borussia M.Gladbach,Hamburger SV,2.39,0.56,4,2,7.53,10.35,2.70,0.20
Sep 24 2014,Hannover 96,FC Cologne,0.41,0.70,3,5,19.63,11.14,0.94,1.64
Sep 24 2014,Hertha Berlin,Wolfsburg,0.43,0.86,2,4,12.48,2.97,0.90,1.71
Sep 26 2014,Mainz 05,Hoffenheim,0.61,1.09,5,2,9.14,11.45,0.91,1.77
